 written on  6Mar2023 at 19:23:18 
          18
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4
   -3    1    1    1    1   -0.214881    0.000000
   -3    1    1    2    1    0.000000    0.000000
   -3    1    1    3    1   -0.000000    0.000000
   -3    1    1    4    1   -0.000000   -0.000000
   -3    1    1    5    1   -0.000000   -0.000000
   -3    1    1    6    1   -0.000000    0.000024
   -3    1    1    7    1   -0.000000   -0.000000
   -3    1    1    8    1    0.000024    0.000000
   -3    1    1    9    1    0.000910    0.000000
   -3    1    1   10    1    0.000000   -0.000000
   -3    1    1   11    1   -0.000000   -0.000000
   -3    1    1   12    1   -0.000044   -0.000000
   -3    1    1   13    1   -0.000000    0.000000
   -3    1    1   14    1    0.000000   -0.000044
   -3    1    1   15    1    0.000000   -0.000000
   -3    1    1   16    1   -0.000000    0.000000
   -3    1    1   17    1    0.000000    0.000000
   -3    1    1   18    1    0.000000   -0.000000
   -3    1    1    1    2   -0.000000    0.000000
   -3    1    1    2    2   -0.214881    0.000000
   -3    1    1    3    2    0.000000    0.000000
   -3    1    1    4    2    0.000000   -0.000000
   -3    1    1    5    2   -0.000000    0.000024
   -3    1    1    6    2   -0.000000   -0.000000
   -3    1    1    7    2   -0.000024   -0.000000
   -3    1    1    8    2   -0.000000    0.000000
   -3    1    1    9    2    0.000000    0.000000
   -3    1    1   10    2    0.000910    0.000000
   -3    1    1   11    2    0.000044   -0.000000
   -3    1    1   12    2    0.000000   -0.000000
   -3    1    1   13    2   -0.000000   -0.000044
   -3    1    1   14    2   -0.000000    0.000000
   -3    1    1   15    2    0.000000   -0.000000
   -3    1    1   16    2    0.000000   -0.000000
   -3    1    1   17    2   -0.000000   -0.000000
   -3    1    1   18    2   -0.000000   -0.000000
   -3    1    1    1    3   -0.000000   -0.000000
   -3    1    1    2    3    0.000000    0.000000
   -3    1    1    3    3    0.153124    0.000000
   -3    1    1    4    3    0.000000    0.000000
   -3    1    1    5    3   -0.000000    0.000000
   -3    1    1    6    3   -0.006572    0.000000
   -3    1    1    7    3    0.000000    0.000000
   -3    1    1    8    3    0.000000   -0.006572
   -3    1    1    9    3    0.000000   -0.000000
   -3    1    1   10    3    0.000000   -0.000000
   -3    1    1   11    3   -0.000000   -0.000000
   -3    1    1   12    3   -0.000000    0.000059
   -3    1    1   13    3    0.000000   -0.000000
   -3    1    1   14    3    0.000059   -0.000000
   -3    1    1   15    3    0.000000    0.005262
   -3    1    1   16    3   -0.000000   -0.000000
   -3    1    1   17    3   -0.024864    0.000000
   -3    1    1   18    3    0.000000    0.000000
   -3    1    1    1    4   -0.000000    0.000000
   -3    1    1    2    4    0.000000    0.000000
   -3    1    1    3    4   -0.000000    0.000000
   -3    1    1    4    4    0.153124    0.000000
   -3    1    1    5    4    0.006572   -0.000000
   -3    1    1    6    4   -0.000000    0.000000
   -3    1    1    7    4    0.000000   -0.006572
   -3    1    1    8    4    0.000000    0.000000
   -3    1    1    9    4    0.000000   -0.000000
   -3    1    1   10    4    0.000000    0.000000
   -3    1    1   11    4    0.000000    0.000059
   -3    1    1   12    4    0.000000    0.000000
   -3    1    1   13    4   -0.000059   -0.000000
   -3    1    1   14    4   -0.000000   -0.000000
   -3    1    1   15    4    0.000000   -0.000000
   -3    1    1   16    4   -0.000000   -0.005262
   -3    1    1   17    4    0.000000   -0.000000
   -3    1    1   18    4   -0.024864   -0.000000
   -3    1    1    1    5    0.000000    0.000000
   -3    1    1    2    5    0.000000    0.000024
   -3    1    1    3    5    0.000000    0.000000
   -3    1    1    4    5    0.006572   -0.000000
   -3    1    1    5    5    0.151009    0.000000
   -3    1    1    6    5   -0.000000    0.000000
   -3    1    1    7    5   -0.000000    0.006615
   -3    1    1    8    5   -0.000000    0.000000
   -3    1    1    9    5   -0.000000   -0.000000
   -3    1    1   10    5   -0.000000   -0.004613
   -3    1    1   11    5   -0.000000   -0.000033
   -3    1    1   12    5   -0.000000   -0.000000
   -3    1    1   13    5   -0.026428   -0.000000
   -3    1    1   14    5   -0.000000   -0.000000
   -3    1    1   15    5    0.000000    0.000000
   -3    1    1   16    5    0.000000   -0.002683
   -3    1    1   17    5   -0.000000    0.000000
   -3    1    1   18    5   -0.000061   -0.000000
   -3    1    1    1    6    0.000000    0.000024
   -3    1    1    2    6   -0.000000    0.000000
   -3    1    1    3    6   -0.006572   -0.000000
   -3    1    1    4    6    0.000000    0.000000
   -3    1    1    5    6    0.000000   -0.000000
   -3    1    1    6    6    0.151009   -0.000000
   -3    1    1    7    6    0.000000    0.000000
   -3    1    1    8    6    0.000000   -0.006615
   -3    1    1    9    6   -0.000000   -0.004613
   -3    1    1   10    6   -0.000000   -0.000000
   -3    1    1   11    6   -0.000000    0.000000
   -3    1    1   12    6   -0.000000    0.000033
   -3    1    1   13    6   -0.000000   -0.000000
   -3    1    1   14    6   -0.026428    0.000000
   -3    1    1   15    6    0.000000   -0.002683
   -3    1    1   16    6    0.000000    0.000000
   -3    1    1   17    6    0.000061    0.000000
   -3    1    1   18    6   -0.000000   -0.000000
   -3    1    1    1    7    0.000000    0.000000
   -3    1    1    2    7    0.000024    0.000000
   -3    1    1    3    7    0.000000   -0.000000
   -3    1    1    4    7    0.000000    0.006572
   -3    1    1    5    7    0.000000   -0.006615
   -3    1    1    6    7    0.000000   -0.000000
   -3    1    1    7    7    0.151009   -0.000000
   -3    1    1    8    7    0.000000   -0.000000
   -3    1    1    9    7   -0.000000    0.000000
   -3    1    1   10    7   -0.004613    0.000000
   -3    1    1   11    7   -0.026428    0.000000
   -3    1    1   12    7   -0.000000    0.000000
   -3    1    1   13    7   -0.000000    0.000033
   -3    1    1   14    7   -0.000000    0.000000
   -3    1    1   15    7   -0.000000    0.000000
   -3    1    1   16    7    0.002683    0.000000
   -3    1    1   17    7   -0.000000    0.000000
   -3    1    1   18    7    0.000000   -0.000061
   -3    1    1    1    8   -0.000024    0.000000
   -3    1    1    2    8   -0.000000   -0.000000
   -3    1    1    3    8   -0.000000    0.006572
   -3    1    1    4    8   -0.000000   -0.000000
   -3    1    1    5    8   -0.000000   -0.000000
   -3    1    1    6    8   -0.000000    0.006615
   -3    1    1    7    8    0.000000   -0.000000
   -3    1    1    8    8    0.151009    0.000000
   -3    1    1    9    8    0.004613    0.000000
   -3    1    1   10    8   -0.000000   -0.000000
   -3    1    1   11    8   -0.000000   -0.000000
   -3    1    1   12    8   -0.026428    0.000000
   -3    1    1   13    8    0.000000    0.000000
   -3    1    1   14    8   -0.000000   -0.000033
   -3    1    1   15    8   -0.002683   -0.000000
   -3    1    1   16    8    0.000000    0.000000
   -3    1    1   17    8   -0.000000   -0.000061
   -3    1    1   18    8    0.000000    0.000000
   -3    1    1    1    9    0.000910    0.000000
   -3    1    1    2    9    0.000000    0.000000
   -3    1    1    3    9   -0.000000    0.000000
   -3    1    1    4    9   -0.000000    0.000000
   -3    1    1    5    9    0.000000    0.000000
   -3    1    1    6    9    0.000000   -0.004613
   -3    1    1    7    9    0.000000   -0.000000
   -3    1    1    8    9   -0.004613   -0.000000
   -3    1    1    9    9   -0.002379    0.000000
   -3    1    1   10    9    0.000000   -0.000000
   -3    1    1   11    9    0.000000    0.000000
   -3    1    1   12    9   -0.000456   -0.000000
   -3    1    1   13    9   -0.000000    0.000000
   -3    1    1   14    9   -0.000000   -0.000456
   -3    1    1   15    9   -0.000000   -0.000000
   -3    1    1   16    9    0.000000   -0.000000
